    case id  age sex tint target       it     csoa   agegp
1      1  1 22.4   f   no  hicon  26.0000  46.8000 younger
2      1  1 22.4   f   lo  hicon  32.2400  37.4400 younger
3      1  1 22.4   f   hi  hicon  27.0400  42.6400 younger
4      1  1 22.4   f   no  locon  17.6800  41.6000 younger
5      1  1 22.4   f   lo  locon  20.8000  37.4400 younger
6      1  1 22.4   f   hi  locon  26.0000  40.5600 younger
7      1  1 22.4   f   no  hicon  24.9600  38.4800 younger
8      2  2 26.8   f   no  hicon  21.7900  44.6100 younger
9      2  2 26.8   f   lo  hicon  21.7900  50.8400 younger
10     2  2 26.8   f   hi  hicon  23.8600  51.8800 younger
11     2  2 26.8   f   no  locon  24.9000  47.7300 younger
12     2  2 26.8   f   lo  locon  32.1600  48.7600 younger
13     2  2 26.8   f   hi  locon  22.8300  57.0600 younger
14     2  2 26.8   f   no  hicon  24.9000  42.5400 younger
15     3  3 22.2   f   no  hicon  27.0400  38.4800 younger
16     3  3 22.2   f   lo  hicon  24.9600  32.2400 younger
17     3  3 22.2   f   hi  hicon  39.5200  30.1600 younger
18     3  3 22.2   f   no  locon  40.5600  44.7200 younger
19     3  3 22.2   f   lo  locon  27.0400  36.4000 younger
20     3  3 22.2   f   hi  locon  30.1600  33.2800 younger
21     3  3 22.2   f   no  hicon  21.8400  30.1600 younger
22     4  5 22.6   m   no  hicon  38.4800  38.4800 younger
23     4  5 22.6   m   lo  hicon  38.4800  35.3600 younger
24     4  5 22.6   m   hi  hicon  29.1200  38.4800 younger
25     4  5 22.6   m   no  locon  34.3200  38.4800 younger
26     4  5 22.6   m   lo  locon  32.2400  33.2800 younger
27     4  5 22.6   m   hi  locon  40.5600  32.2400 younger
28     4  5 22.6   m   no  hicon  35.3600  32.2400 younger
29     5 11 23.1   f   no  hicon  47.7250  63.2875 younger
30     5 11 23.1   f   lo  hicon  29.0500  60.1750 younger
31     5 11 23.1   f   hi  hicon  38.3875  60.1750 younger
32     5 11 23.1   f   no  locon  46.6875  41.5000 younger
33     5 11 23.1   f   lo  locon  37.3500  43.5750 younger
34     5 11 23.1   f   hi  locon  38.3875  54.9875 younger
35     5 11 23.1   f   no  hicon  33.2000  47.7250 younger
36     6 13 27.3   f   no  hicon  29.0500  57.0625 younger
37     6 13 27.3   f   lo  hicon  25.9375  66.4000 younger
38     6 13 27.3   f   hi  hicon  28.0125  50.8375 younger
39     6 13 27.3   f   no  locon  30.0875  49.8000 younger
40     6 13 27.3   f   lo  locon  31.1250  45.6500 younger
41     6 13 27.3   f   hi  locon  40.4625  47.7250 younger
