X1	X2	X3	X4	Y
1	3.85	3.8	5.5	7.38
2	3.75	4	6.75	8.51
3	3.7	4.3	7.25	9.52
4	3.7	3.7	5.5	7.5
5	3.6	3.85	7	9.33
6	3.6	3.8	6.5	8.28
7	3.6	3.75	6.75	8.75
8	3.8	3.85	5.25	7.87
9	3.8	3.65	5.25	7.1
10	3.85	4	6	8
11	3.9	4.1	6.5	7.89
12	3.9	4	6.25	8.15
13	3.7	4.1	7	9.1
14	3.75	4.2	6.9	8.86
15	3.75	4.1	6.8	8.9
16	3.8	4.1	6.8	8.87
17	3.7	4.2	7.1	9.26
18	3.8	4.3	7	9
19	3.7	4.1	6.8	8.75
20	3.8	3.75	6.5	7.95
21	3.8	3.75	6.25	7.65
22	3.75	3.65	6	7.27
23	3.7	3.9	6.5	8
24	3.55	3.65	7	8.5
25	3.6	4.1	6.8	8.75
26	3.65	4.25	6.8	9.21
27	3.7	3.65	6.5	8.27
28	3.75	3.75	5.75	7.67
29	3.8	3.85	5.8	7.93
30	3.7	4.25	6.8	9.26
